,product name,price in rupees,rating,availability,link
25,Graphic Print Sports 20-20 Cricket Teams Cotton Baseball ( Pack of 2) Cap  (Pack of 2),348,3.7,available,https://flipkart.com/epraiser-graphic-print-sports-20-20-cricket-teams-cotton-baseball-pack-2-cap/p/itmff265vfhg4pyq?pid=CAPFFFPNYGQEUQCY&lid=LSTCAPFFFPNYGQEUQCY4AFENF&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_20&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFFPNYGQEUQCY.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
26,"PRANSUNITA 16 ply Super Soft Acrylic Knitting Wool Yarn, 200 gm Ball, Used in Hand Knitting, Art Craft, and Crochet",490,2.7,available,https://flipkart.com/pransunita-16-ply-super-soft-acrylic-knitting-wool-yarn-200-gm-ball-used-hand-knitting-art-craft-crochet/p/itm435f596b3a59f?pid=ACKFZUACJNVGE7YU&lid=LSTACKFZUACJNVGE7YU4C5D77&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_21&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFZUACJNVGE7YU.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
27,"PRANSUNITA 16 ply Super Soft Acrylic Knitting Wool Yarn, 200 gm Ball, Used in Hand Knitting, Art Craft, and Crochet",490,2.7,available,https://flipkart.com/pransunita-16-ply-super-soft-acrylic-knitting-wool-yarn-200-gm-ball-used-hand-knitting-art-craft-crochet/p/itm29cbacff0d4f2?pid=ACKFZUABT3UT9KSP&lid=LSTACKFZUABT3UT9KSPRIAW4H&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_22&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFZUABT3UT9KSP.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
28,"PRANSUNITA 16 ply Super Soft Acrylic Knitting Wool Yarn, 100 gm Ball, Used in Hand Knitting, Art Craft, and Crochet",349,2.7,available,https://flipkart.com/pransunita-16-ply-super-soft-acrylic-knitting-wool-yarn-100-gm-ball-used-hand-knitting-art-craft-crochet/p/itm089b3a90f752b?pid=ACKFZ5WG96PWRASN&lid=LSTACKFZ5WG96PWRASNCXHJFB&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_23&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFZ5WG96PWRASN.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
29,"PRANSUNITA 16 ply Super Soft Acrylic Knitting Wool Yarn, 100 gm Ball, Used in Hand Knitting, Art Craft, and Crochet",299,2.7,available,https://flipkart.com/pransunita-16-ply-super-soft-acrylic-knitting-wool-yarn-100-gm-ball-used-hand-knitting-art-craft-crochet/p/itm705e5444c1359?pid=ACKFZ5X5CZ72QBZC&lid=LSTACKFZ5X5CZ72QBZC56X5YZ&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_24&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFZ5X5CZ72QBZC.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
30,"PRANSUNITA 16 ply Super Soft Acrylic Knitting Wool Yarn, 200 gm Ball, Used in Hand Knitting, Art Craft, and Crochet",490,2.7,available,https://flipkart.com/pransunita-16-ply-super-soft-acrylic-knitting-wool-yarn-200-gm-ball-used-hand-knitting-art-craft-crochet/p/itm7f3018bd163a6?pid=ACKFZUAGFJ23HUXH&lid=LSTACKFZUAGFJ23HUXHGVCI1E&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_25&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFZUAGFJ23HUXH.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
31,Casual Sports Team India ODI T-20 Cricket Supporter Cap  (Pack of 2),449,4.3,available,https://flipkart.com/nkz-casual-sports-team-india-odi-t-20-cricket-supporter-cap/p/itmffbjeugwpsnzb?pid=CAPFFBFSHTHHSQEG&lid=LSTCAPFFBFSHTHHSQEGCR2ODV&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_26&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFFBFSHTHHSQEG.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
32,"india cricket team cap ODI CAP T 20 CAPS caps for boys ,caps in men style Cap",265,4.4,available,https://flipkart.com/x-lent-india-cricket-team-cap-odi-t-20-caps-boys-caps-men-style/p/itmfenavcybtc5bf?pid=CAPFEM6NQEFTFNVV&lid=LSTCAPFEM6NQEFTFNVVK3KHWM&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_28&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPFEM6NQEFTFNVV.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
33,"PRANSUNITA 16 ply Super Soft Acrylic Knitting Wool Yarn, 100 gm Ball, Used in Hand Knitting, Art Craft, and Crochet",349,2.7,available,https://flipkart.com/pransunita-16-ply-super-soft-acrylic-knitting-wool-yarn-100-gm-ball-used-hand-knitting-art-craft-crochet/p/itmb7241f88b6b87?pid=ACKFZ5WFMKFDTZ39&lid=LSTACKFZ5WFMKFDTZ398LGHFT&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_29&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.ACKFZ5WFMKFDTZ39.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
34,"Digital Emberoded Sports Caps,Cricket Caps ,t20/test Match Caps Cap Cap",285,4.8,available,https://flipkart.com/dedicated-digital-emberoded-sports-caps-cricket-caps-t20-test-match-cap/p/itm58d2e7c633729?pid=CAPG2YZXGQGZDVWM&lid=LSTCAPG2YZXGQGZDVWME4XKRF&marketplace=FLIPKART&q=cool20%25hats20%25&store=search.flipkart.com&srno=s_1_30&otracker=search&fm=organic&iid=6aae8a1c-83ca-444f-94b6-479b2284b27e.CAPG2YZXGQGZDVWM.SEARCH&ppt=None&ppn=None&ssid=s33ukpiai80000001625422422341&qH=d14475f174d5f616
